ABS time (ms), value, Arm On, Arm Down, Bowl On, Bowl CW, Dosage pump, Drain pump, Water valve, Blow dryer, duration (ms)
0000000000,0x0-,0,0,0,0,0,0,x,0,0002732605
0002732605,0x2-,0,0,1,0,0,0,x,0,0000031795
0002764400,0x6-,0,1,1,0,0,0,x,0,0000031750
0002796150,0xe-,1,1,1,0,0,0,x,0,0013153185
0015949335,0xa-,1,0,1,0,0,0,x,0,0000031795
0015981130,0x2-,0,0,1,0,0,0,x,0,0018109070
0034090200,0x3-,0,0,1,1,0,0,x,0,0006201485
0040291685,0x2-,0,0,1,0,0,0,x,0,0000063595
0040355280,0x6-,0,1,1,0,0,0,x,0,0000031800
0040387080,0xe-,1,1,1,0,0,0,x,0,0005669575
0046056655,0xa-,1,0,1,0,0,0,x,0,0000531910
0046588565,0x2-,0,0,1,0,0,0,x,0,0025206090
0071794655,0xa-,1,0,1,0,0,0,x,0,0010670870
0082465525,0xe-,1,1,1,0,0,0,x,0,0006601605
0089067130,0xa-,1,0,1,0,0,0,x,0,0017204270
0106271400,0xe-,1,1,1,0,0,0,x,0,0012703075
0118974475,0xa-,1,0,1,0,0,0,x,0,0000031745
0119006220,0x2-,0,0,1,0,0,0,x,0,0004669405
0123675625,0x6-,0,1,1,0,0,0,x,0,0000031750
0123707375,0xe-,1,1,1,0,0,0,x,0,0011170970
0134878345,0xa-,1,0,1,0,0,0,x,0,0000531770
0135410115,0x2-,0,0,1,0,0,0,x,0,0025206160
0160616275,0xa-,1,0,1,0,0,0,x,0,0010670930
0171287205,0xe-,1,1,1,0,0,0,x,0,0006601490
0177888695,0xa-,1,0,1,0,0,0,x,0,0020141325
0198030020,0xb-,1,0,1,1,0,0,x,0,0000063605
0198093625,0xf-,1,1,1,1,0,0,x,0,0021705370
0219798995,0xb-,1,0,1,1,0,0,x,0,0000931915
0220730910,0x3-,0,0,1,1,0,0,x,0,0012107635
0232838545,0x2-,0,0,1,0,0,0,x,0,0000063645
0232902190,0x6-,0,1,1,0,0,0,x,0,0000031755
0232933945,0xe-,1,1,1,0,0,0,x,0,0003168920
0236102865,0xa-,1,0,1,0,0,0,x,0,0000531915
0236634780,0x2-,0,0,1,0,0,0,x,0,0024205875
0260840655,0xa-,1,0,1,0,0,0,x,0,0010570930
0271411585,0xe-,1,1,1,0,0,0,x,0,0006601505
0278013090,0xa-,1,0,1,0,0,0,x,0,0017140595
0295153685,0xb-,1,0,1,1,0,0,x,0,0000095390
0295249075,0x3-,0,0,1,1,0,0,x,0,0018672780
0313921855,0x7-,0,1,1,1,0,0,x,0,0000031795
0313953650,0xf-,1,1,1,1,0,0,x,0,0025174315
0339127965,0xb-,1,0,1,1,0,0,x,0,0001132235
