Time [s],Event
-0,0000020,Start
0,0000398,Setup write to 0x50. +ACK
0,0001117,Wrote 0x00 to 0x50. +ACK
0,0001838,Wrote 0x00 to 0x50. +ACK
0,0002495,Stop
0,0003020,Start
0,0003440,Setup write to 0x50. +ACK
0,0004160,Wrote 0x00 to 0x50. +ACK
0,0004880,Wrote 0x10 to 0x50. +ACK
0,0005538,Stop
0,0016215,Start
0,0017093,Setup write to 0x50. +ACK
0,0017813,Wrote 0x01 to 0x50. +ACK
0,0018533,Wrote 0x02 to 0x50. +ACK
0,0019253,Wrote 0x06 to 0x50. +ACK
0,0019973,Wrote 0x00 to 0x50. +ACK
0,0020630,Stop
0,0041340,Start
0,0041758,Setup write to 0x50. +ACK
0,0042478,Wrote 0x01 to 0x50. +ACK
0,0043175,Start
0,0043548,Setup read from 0x50. +ACK
0,0044270,Read 0x01 from 0x50. +ACK
0,0045510,Read 0x44 from 0x50. +No ACK
0,0047268,Stop
0,0047843,Start
0,0048260,Setup write to 0x50. +ACK
0,0048980,Wrote 0x00 to 0x50. +ACK
0,0049700,Wrote 0x00 to 0x50. +ACK
0,0050358,Stop
1,0002320,Start
1,0002738,Setup write to 0x50. +ACK
1,0003458,Wrote 0x00 to 0x50. +ACK
1,0004178,Wrote 0x00 to 0x50. +ACK
1,0004835,Stop
1,0005360,Start
1,0005778,Setup write to 0x50. +ACK
1,0006498,Wrote 0x00 to 0x50. +ACK
1,0007218,Wrote 0x10 to 0x50. +ACK
1,0007875,Stop
1,0018553,Start
1,0019433,Setup write to 0x50. +ACK
1,0020153,Wrote 0x01 to 0x50. +ACK
1,0020873,Wrote 0x02 to 0x50. +ACK
1,0021593,Wrote 0x06 to 0x50. +ACK
1,0022313,Wrote 0x00 to 0x50. +ACK
1,0022970,Stop
1,0043690,Start
1,0044108,Setup write to 0x50. +ACK
1,0044828,Wrote 0x01 to 0x50. +ACK
1,0045525,Start
1,0045898,Setup read from 0x50. +ACK
1,0046618,Read 0x01 from 0x50. +ACK
1,0047858,Read 0x45 from 0x50. +No ACK
1,0049625,Stop
1,0050200,Start
1,0050620,Setup write to 0x50. +ACK
1,0051340,Wrote 0x00 to 0x50. +ACK
1,0052060,Wrote 0x00 to 0x50. +ACK
1,0052718,Stop
2,0004838,Start
