Time [s],Event
-0,0000020,Start
0,0000400,Setup write to 0x50. +ACK
0,0001120,Wrote 0x00 to 0x50. +ACK
0,0001840,Wrote 0x00 to 0x50. +ACK
0,0002498,Stop
0,0003023,Start
0,0003440,Setup write to 0x50. +ACK
0,0004160,Wrote 0x00 to 0x50. +ACK
0,0004880,Wrote 0x10 to 0x50. +ACK
0,0005537,Stop
0,0016295,Start
0,0016713,Setup write to 0x50. +ACK
0,0017433,Wrote 0x01 to 0x50. +ACK
0,0018153,Wrote 0x02 to 0x50. +ACK
0,0019253,Wrote 0x06 to 0x50. +ACK
0,0019975,Wrote 0x00 to 0x50. +ACK
0,0020633,Stop
0,0041350,Start
0,0041770,Setup write to 0x50. +ACK
0,0042490,Wrote 0x01 to 0x50. +ACK
0,0043188,Start
0,0043560,Setup read from 0x50. +ACK
0,0044280,Read 0x00 from 0x50. +ACK
0,0045520,Read 0x00 from 0x50. +No ACK
0,0046788,Stop
0,0048013,Start
0,0048880,Setup write to 0x50. +ACK
0,0049600,Wrote 0x00 to 0x50. +ACK
0,0050320,Wrote 0x00 to 0x50. +ACK
0,0050980,Stop
0,0052125,Start
0,0052543,Setup write to 0x50. +ACK
0,0053263,Wrote 0x00 to 0x50. +ACK
0,0053983,Wrote 0x00 to 0x50. +ACK
0,0054640,Stop
0,0055165,Start
0,0055583,Setup write to 0x50. +ACK
0,0056303,Wrote 0x00 to 0x50. +ACK
0,0057023,Wrote 0x10 to 0x50. +ACK
0,0057680,Stop
0,0068898,Start
0,0069315,Setup write to 0x50. +ACK
0,0070035,Wrote 0x01 to 0x50. +ACK
0,0070755,Wrote 0x02 to 0x50. +ACK
0,0071478,Wrote 0x06 to 0x50. +ACK
0,0072198,Wrote 0x00 to 0x50. +ACK
0,0072855,Stop
0,0093575,Start
0,0093993,Setup write to 0x50. +ACK
0,0094713,Wrote 0x01 to 0x50. +ACK
0,0095410,Start
0,0095783,Setup read from 0x50. +ACK
0,0096503,Read 0x00 from 0x50. +ACK
0,0097743,Read 0x00 from 0x50. +No ACK
0,0099460,Stop
0,0100685,Start
0,0101103,Setup write to 0x50. +ACK
0,0101823,Wrote 0x00 to 0x50. +ACK
0,0102545,Wrote 0x00 to 0x50. +ACK
0,0103203,Stop
0,0104348,Start
0,0104765,Setup write to 0x50. +ACK
0,0105485,Wrote 0x00 to 0x50. +ACK
0,0106205,Wrote 0x00 to 0x50. +ACK
0,0106863,Stop
0,0107388,Start
0,0107805,Setup write to 0x50. +ACK
0,0108975,Wrote 0x00 to 0x50. +ACK
0,0109695,Wrote 0x10 to 0x50. +ACK
0,0110353,Stop
0,0121110,Start
0,0121528,Setup write to 0x50. +ACK
0,0122248,Wrote 0x01 to 0x50. +ACK
0,0122970,Wrote 0x02 to 0x50. +ACK
0,0123690,Wrote 0x06 to 0x50. +ACK
0,0124410,Wrote 0x00 to 0x50. +ACK
0,0125068,Stop
0,0145788,Start
0,0146205,Setup write to 0x50. +ACK
0,0146925,Wrote 0x01 to 0x50. +ACK
0,0147623,Start
0,0147995,Setup read from 0x50. +ACK
0,0149165,Read 0x00 from 0x50. +ACK
0,0150405,Read 0x00 from 0x50. +No ACK
0,0151673,Stop
0,0152898,Start
0,0153315,Setup write to 0x50. +ACK
0,0154038,Wrote 0x00 to 0x50. +ACK
0,0154758,Wrote 0x00 to 0x50. +ACK
0,0155415,Stop
0,0156560,Start
0,0156978,Setup write to 0x50. +ACK
0,0157698,Wrote 0x00 to 0x50. +ACK
0,0158878,Wrote 0x00 to 0x50. +ACK
0,0159535,Stop
0,0160060,Start
0,0160478,Setup write to 0x50. +ACK
0,0161198,Wrote 0x00 to 0x50. +ACK
0,0161918,Wrote 0x10 to 0x50. +ACK
0,0162575,Stop
0,0173333,Start
0,0173750,Setup write to 0x50. +ACK
0,0174473,Wrote 0x01 to 0x50. +ACK
