Time [s],Event
-0,0000020,Start
0,0000398,Setup write to 0x50. +ACK
0,0001117,Wrote 0x00 to 0x50. +ACK
0,0001838,Wrote 0x00 to 0x50. +ACK
0,0002498,Stop
0,0003022,Start
0,0003440,Setup write to 0x50. +ACK
0,0004160,Wrote 0x00 to 0x50. +ACK
0,0004880,Wrote 0x10 to 0x50. +ACK
0,0005538,Stop
0,0016295,Start
0,0016713,Setup write to 0x50. +ACK
0,0017893,Wrote 0x01 to 0x50. +ACK
0,0018613,Wrote 0x02 to 0x50. +ACK
0,0019333,Wrote 0x06 to 0x50. +ACK
0,0020053,Wrote 0x00 to 0x50. +ACK
0,0020710,Stop
0,0041420,Start
0,0041838,Setup write to 0x50. +ACK
0,0042558,Wrote 0x01 to 0x50. +ACK
0,0043255,Start
0,0043630,Setup read from 0x50. +ACK
0,0044350,Read 0x00 from 0x50. +ACK
0,0045590,Read 0x00 from 0x50. +No ACK
0,0046858,Stop
0,0048543,Start
0,0048960,Setup write to 0x50. +ACK
0,0049680,Wrote 0x00 to 0x50. +ACK
0,0050400,Wrote 0x00 to 0x50. +ACK
0,0051058,Stop
0,0052203,Start
0,0052620,Setup write to 0x50. +ACK
0,0053343,Wrote 0x00 to 0x50. +ACK
0,0054063,Wrote 0x00 to 0x50. +ACK
0,0054720,Stop
0,0055245,Start
0,0055663,Setup write to 0x50. +ACK
0,0056383,Wrote 0x00 to 0x50. +ACK
0,0057103,Wrote 0x10 to 0x50. +ACK
0,0058060,Stop
0,0068818,Start
0,0069235,Setup write to 0x50. +ACK
0,0069955,Wrote 0x01 to 0x50. +ACK
0,0070675,Wrote 0x02 to 0x50. +ACK
0,0071395,Wrote 0x06 to 0x50. +ACK
0,0072115,Wrote 0x00 to 0x50. +ACK
0,0072773,Stop
0,0093483,Start
0,0093900,Setup write to 0x50. +ACK
0,0094623,Wrote 0x01 to 0x50. +ACK
0,0095318,Start
0,0095693,Setup read from 0x50. +ACK
0,0096413,Read 0x00 from 0x50. +ACK
0,0098113,Read 0x00 from 0x50. +No ACK
0,0099380,Stop
0,0100605,Start
0,0101023,Setup write to 0x50. +ACK
0,0101743,Wrote 0x00 to 0x50. +ACK
0,0102463,Wrote 0x00 to 0x50. +ACK
0,0103120,Stop
1,0001930,Start
