Time	Value	Arm	Bowl	Dosage pump	Drain pump	Water valve	Blow dryer	Duration
0,000000	0x0-	Stop	Stop	Off	Off	x	Off	2,732605
2,732605	0x2-	Stop	CCW	Off	Off	x	Off	0,031795
2,764400	0x6-	Stop (D)	CCW	Off	Off	x	Off	0,031750
2,796150	0xe-	Down	CCW	Off	Off	x	Off	13,153185
15,949335	0xa-	Up	CCW	Off	Off	x	Off	0,031795
15,981130	0x2-	Stop	CCW	Off	Off	x	Off	18,109070
34,090200	0x3-	Stop	CW	Off	Off	x	Off	6,201485
40,291685	0x2-	Stop	CCW	Off	Off	x	Off	0,063595
40,355280	0x6-	Stop (D)	CCW	Off	Off	x	Off	0,031800
40,387080	0xe-	Down	CCW	Off	Off	x	Off	5,669575
46,056655	0xa-	Up	CCW	Off	Off	x	Off	0,531910
46,588565	0x2-	Stop	CCW	Off	Off	x	Off	25,206090
71,794655	0xa-	Up	CCW	Off	Off	x	Off	10,670870
82,465525	0xe-	Down	CCW	Off	Off	x	Off	6,601605
89,067130	0xa-	Up	CCW	Off	Off	x	Off	17,204270
106,271400	0xe-	Down	CCW	Off	Off	x	Off	12,703075
118,974475	0xa-	Up	CCW	Off	Off	x	Off	0,031745
119,006220	0x2-	Stop	CCW	Off	Off	x	Off	4,669405
123,675625	0x6-	Stop (D)	CCW	Off	Off	x	Off	0,031750
123,707375	0xe-	Down	CCW	Off	Off	x	Off	11,170970
134,878345	0xa-	Up	CCW	Off	Off	x	Off	0,531770
135,410115	0x2-	Stop	CCW	Off	Off	x	Off	25,206160
160,616275	0xa-	Up	CCW	Off	Off	x	Off	10,670930
171,287205	0xe-	Down	CCW	Off	Off	x	Off	6,601490
177,888695	0xa-	Up	CCW	Off	Off	x	Off	20,141325
198,030020	0xb-	Up	CW	Off	Off	x	Off	0,063605
198,093625	0xf-	Down	CW	Off	Off	x	Off	21,705370
219,798995	0xb-	Up	CW	Off	Off	x	Off	0,931915
220,730910	0x3-	Stop	CW	Off	Off	x	Off	12,107635
232,838545	0x2-	Stop	CCW	Off	Off	x	Off	0,063645
232,902190	0x6-	Stop (D)	CCW	Off	Off	x	Off	0,031755
232,933945	0xe-	Down	CCW	Off	Off	x	Off	3,168920
236,102865	0xa-	Up	CCW	Off	Off	x	Off	0,531915
236,634780	0x2-	Stop	CCW	Off	Off	x	Off	24,205875
260,840655	0xa-	Up	CCW	Off	Off	x	Off	10,570930
271,411585	0xe-	Down	CCW	Off	Off	x	Off	6,601505
