Time	Value	Arm	Bowl	Dosage pump	Drain pump	Water valve	Blow dryer	Duration
0,000000	0x00	Stop	Stop	Off	Off	Off	Off	2,541480
2,541480	0x02	Stop	Stop	Off	Off	On	Off	0,000020
2,541500	0x00	Stop	Stop	Off	Off	Off	Off	0,191105
2,732605	0x20	Stop	CCW	Off	Off	Off	Off	0,031795
2,764400	0x60	Stop (D)	CCW	Off	Off	Off	Off	0,031750
2,796150	0xe0	Down	CCW	Off	Off	Off	Off	0,005445
2,801595	0xe2	Down	CCW	Off	Off	On	Off	0,000015
2,801610	0xe0	Down	CCW	Off	Off	Off	Off	0,021725
2,823335	0xe2	Down	CCW	Off	Off	On	Off	0,000020
2,823355	0xe0	Down	CCW	Off	Off	Off	Off	0,099955
2,923310	0xe2	Down	CCW	Off	Off	On	Off	0,000020
2,923330	0xe0	Down	CCW	Off	Off	Off	Off	0,100085
3,023415	0xe2	Down	CCW	Off	Off	On	Off	0,000020
3,023435	0xe0	Down	CCW	Off	Off	Off	Off	0,099955
3,123390	0xe2	Down	CCW	Off	Off	On	Off	0,000020
3,123410	0xe0	Down	CCW	Off	Off	Off	Off	0,100080
3,223490	0xe2	Down	CCW	Off	Off	On	Off	0,000020
3,223510	0xe0	Down	CCW	Off	Off	Off	Off	0,099955
3,323465	0xe2	Down	CCW	Off	Off	On	Off	0,000015
3,323480	0xe0	Down	CCW	Off	Off	Off	Off	0,099960
3,423440	0xe2	Down	CCW	Off	Off	On	Off	0,000015
3,423455	0xe0	Down	CCW	Off	Off	Off	Off	0,100075
3,523530	0xe2	Down	CCW	Off	Off	On	Off	0,000015
3,523545	0xe0	Down	CCW	Off	Off	Off	Off	0,099965
3,623510	0xe2	Down	CCW	Off	Off	On	Off	0,000015
3,623525	0xe0	Down	CCW	Off	Off	Off	Off	0,100105
3,723630	0xe2	Down	CCW	Off	Off	On	Off	0,000015
3,723645	0xe0	Down	CCW	Off	Off	Off	Off	0,099990
3,823635	0xe2	Down	CCW	Off	Off	On	Off	0,000020
3,823655	0xe0	Down	CCW	Off	Off	Off	Off	0,099950
3,923605	0xe2	Down	CCW	Off	Off	On	Off	0,000020
3,923625	0xe0	Down	CCW	Off	Off	Off	Off	0,099965
4,023590	0xe2	Down	CCW	Off	Off	On	Off	0,000015
4,023605	0xe0	Down	CCW	Off	Off	Off	Off	0,100075
4,123680	0xe2	Down	CCW	Off	Off	On	Off	0,000020
4,123700	0xe0	Down	CCW	Off	Off	Off	Off	0,099960
4,223660	0xe2	Down	CCW	Off	Off	On	Off	0,000020
4,223680	0xe0	Down	CCW	Off	Off	Off	Off	0,100080
4,323760	0xe2	Down	CCW	Off	Off	On	Off	0,000020
4,323780	0xe0	Down	CCW	Off	Off	Off	Off	0,099970
4,423750	0xe2	Down	CCW	Off	Off	On	Off	0,000015
4,423765	0xe0	Down	CCW	Off	Off	Off	Off	0,099955
4,523720	0xe2	Down	CCW	Off	Off	On	Off	0,000020
4,523740	0xe0	Down	CCW	Off	Off	Off	Off	0,100080
4,623820	0xe2	Down	CCW	Off	Off	On	Off	0,000020
4,623840	0xe0	Down	CCW	Off	Off	Off	Off	0,099980
4,723820	0xe2	Down	CCW	Off	Off	On	Off	0,000015
4,723835	0xe0	Down	CCW	Off	Off	Off	Off	0,099995
4,823830	0xe2	Down	CCW	Off	Off	On	Off	0,000015
4,823845	0xe0	Down	CCW	Off	Off	Off	Off	0,099950
4,923795	0xe2	Down	CCW	Off	Off	On	Off	0,000020
4,923815	0xe0	Down	CCW	Off	Off	Off	Off	0,100080
5,023895	0xe2	Down	CCW	Off	Off	On	Off	0,000020
5,023915	0xe0	Down	CCW	Off	Off	Off	Off	0,099960
5,123875	0xe2	Down	CCW	Off	Off	On	Off	0,000015
5,123890	0xe0	Down	CCW	Off	Off	Off	Off	0,100085
5,223975	0xe2	Down	CCW	Off	Off	On	Off	0,000020
5,223995	0xe0	Down	CCW	Off	Off	Off	Off	0,099950
5,323945	0xe2	Down	CCW	Off	Off	On	Off	0,000020
5,323965	0xe0	Down	CCW	Off	Off	Off	Off	0,099965
5,423930	0xe2	Down	CCW	Off	Off	On	Off	0,000020
5,423950	0xe0	Down	CCW	Off	Off	Off	Off	0,100070
5,524020	0xe2	Down	CCW	Off	Off	On	Off	0,000020
5,524040	0xe0	Down	CCW	Off	Off	Off	Off	0,099960
5,624000	0xe2	Down	CCW	Off	Off	On	Off	0,000020
5,624020	0xe0	Down	CCW	Off	Off	Off	Off	0,100095
5,724115	0xe2	Down	CCW	Off	Off	On	Off	0,000020
5,724135	0xe0	Down	CCW	Off	Off	Off	Off	0,100000
5,824135	0xe2	Down	CCW	Off	Off	On	Off	0,000020
5,824155	0xe0	Down	CCW	Off	Off	Off	Off	0,099950
5,924105	0xe2	Down	CCW	Off	Off	On	Off	0,000020
5,924125	0xe0	Down	CCW	Off	Off	Off	Off	0,099960
6,024085	0xe2	Down	CCW	Off	Off	On	Off	0,000020
6,024105	0xe0	Down	CCW	Off	Off	Off	Off	0,100080
6,124185	0xe2	Down	CCW	Off	Off	On	Off	0,000020
6,124205	0xe0	Down	CCW	Off	Off	Off	Off	0,099955
6,224160	0xe2	Down	CCW	Off	Off	On	Off	0,000020
6,224180	0xe0	Down	CCW	Off	Off	Off	Off	0,099955
6,324135	0xe2	Down	CCW	Off	Off	On	Off	0,000020
6,324155	0xe0	Down	CCW	Off	Off	Off	Off	0,100080
6,424235	0xe2	Down	CCW	Off	Off	On	Off	0,000020
6,424255	0xe0	Down	CCW	Off	Off	Off	Off	0,099960
6,524215	0xe2	Down	CCW	Off	Off	On	Off	0,000015
6,524230	0xe0	Down	CCW	Off	Off	Off	Off	0,100085
6,624315	0xe2	Down	CCW	Off	Off	On	Off	0,000020
6,624335	0xe0	Down	CCW	Off	Off	Off	Off	0,099965
6,724300	0xe2	Down	CCW	Off	Off	On	Off	0,000020
6,724320	0xe0	Down	CCW	Off	Off	Off	Off	0,099990
6,824310	0xe2	Down	CCW	Off	Off	On	Off	0,000020
6,824330	0xe0	Down	CCW	Off	Off	Off	Off	0,099955
6,924285	0xe2	Down	CCW	Off	Off	On	Off	0,000015
6,924300	0xe0	Down	CCW	Off	Off	Off	Off	0,100085
7,024385	0xe2	Down	CCW	Off	Off	On	Off	0,000015
7,024400	0xe0	Down	CCW	Off	Off	Off	Off	0,099955
7,124355	0xe2	Down	CCW	Off	Off	On	Off	0,000015
7,124370	0xe0	Down	CCW	Off	Off	Off	Off	0,100090
7,224460	0xe2	Down	CCW	Off	Off	On	Off	0,000020
7,224480	0xe0	Down	CCW	Off	Off	Off	Off	0,099950
7,324430	0xe2	Down	CCW	Off	Off	On	Off	0,000020
7,324450	0xe0	Down	CCW	Off	Off	Off	Off	0,099960
7,424410	0xe2	Down	CCW	Off	Off	On	Off	0,000020
7,424430	0xe0	Down	CCW	Off	Off	Off	Off	0,100075
7,524505	0xe2	Down	CCW	Off	Off	On	Off	0,000020
7,524525	0xe0	Down	CCW	Off	Off	Off	Off	0,099955
7,624480	0xe2	Down	CCW	Off	Off	On	Off	0,000020
7,624500	0xe0	Down	CCW	Off	Off	Off	Off	0,100095
7,724595	0xe2	Down	CCW	Off	Off	On	Off	0,000020
7,724615	0xe0	Down	CCW	Off	Off	Off	Off	0,099965
7,824580	0xe2	Down	CCW	Off	Off	On	Off	0,000015
7,824595	0xe0	Down	CCW	Off	Off	Off	Off	0,099960
7,924555	0xe2	Down	CCW	Off	Off	On	Off	0,000015
7,924570	0xe0	Down	CCW	Off	Off	Off	Off	0,100085
8,024655	0xe2	Down	CCW	Off	Off	On	Off	0,000020
8,024675	0xe0	Down	CCW	Off	Off	Off	Off	0,099950
8,124625	0xe2	Down	CCW	Off	Off	On	Off	0,000020
8,124645	0xe0	Down	CCW	Off	Off	Off	Off	0,099965
8,224610	0xe2	Down	CCW	Off	Off	On	Off	0,000020
8,224630	0xe0	Down	CCW	Off	Off	Off	Off	0,100070
8,324700	0xe2	Down	CCW	Off	Off	On	Off	0,000020
8,324720	0xe0	Down	CCW	Off	Off	Off	Off	0,099960
8,424680	0xe2	Down	CCW	Off	Off	On	Off	0,000020
8,424700	0xe0	Down	CCW	Off	Off	Off	Off	0,100080
8,524780	0xe2	Down	CCW	Off	Off	On	Off	0,000020
8,524800	0xe0	Down	CCW	Off	Off	Off	Off	0,099970
8,624770	0xe2	Down	CCW	Off	Off	On	Off	0,000015
8,624785	0xe0	Down	CCW	Off	Off	Off	Off	0,099975
8,724760	0xe2	Down	CCW	Off	Off	On	Off	0,000020
8,724780	0xe0	Down	CCW	Off	Off	Off	Off	0,099970
8,824750	0xe2	Down	CCW	Off	Off	On	Off	0,000020
8,824770	0xe0	Down	CCW	Off	Off	Off	Off	0,100080
8,924850	0xe2	Down	CCW	Off	Off	On	Off	0,000020
8,924870	0xe0	Down	CCW	Off	Off	Off	Off	0,099955
9,024825	0xe2	Down	CCW	Off	Off	On	Off	0,000020
9,024845	0xe0	Down	CCW	Off	Off	Off	Off	0,100080
9,124925	0xe2	Down	CCW	Off	Off	On	Off	0,000020
9,124945	0xe0	Down	CCW	Off	Off	Off	Off	0,099960
9,224905	0xe2	Down	CCW	Off	Off	On	Off	0,000020
9,224925	0xe0	Down	CCW	Off	Off	Off	Off	0,099960
9,324885	0xe2	Down	CCW	Off	Off	On	Off	0,000020
9,324905	0xe0	Down	CCW	Off	Off	Off	Off	0,100085
9,424990	0xe2	Down	CCW	Off	Off	On	Off	0,000015
9,425005	0xe0	Down	CCW	Off	Off	Off	Off	0,099950
9,524955	0xe2	Down	CCW	Off	Off	On	Off	0,000020
9,524975	0xe0	Down	CCW	Off	Off	Off	Off	0,100090
9,625065	0xe2	Down	CCW	Off	Off	On	Off	0,000020
9,625085	0xe0	Down	CCW	Off	Off	Off	Off	0,099965
9,725050	0xe2	Down	CCW	Off	Off	On	Off	0,000020
9,725070	0xe0	Down	CCW	Off	Off	Off	Off	0,099995
9,825065	0xe2	Down	CCW	Off	Off	On	Off	0,000015
9,825080	0xe0	Down	CCW	Off	Off	Off	Off	0,099955
9,925035	0xe2	Down	CCW	Off	Off	On	Off	0,000020
9,925055	0xe0	Down	CCW	Off	Off	Off	Off	0,100085
10,025140	0xe2	Down	CCW	Off	Off	On	Off	0,000020
10,025160	0xe0	Down	CCW	Off	Off	Off	Off	0,099950
10,125110	0xe2	Down	CCW	Off	Off	On	Off	0,000020
10,125130	0xe0	Down	CCW	Off	Off	Off	Off	0,099960
10,225090	0xe2	Down	CCW	Off	Off	On	Off	0,000020
10,225110	0xe0	Down	CCW	Off	Off	Off	Off	0,100075
10,325185	0xe2	Down	CCW	Off	Off	On	Off	0,000020
10,325205	0xe0	Down	CCW	Off	Off	Off	Off	0,099955
10,425160	0xe2	Down	CCW	Off	Off	On	Off	0,000020
10,425180	0xe0	Down	CCW	Off	Off	Off	Off	0,100075
10,525255	0xe2	Down	CCW	Off	Off	On	Off	0,000020
10,525275	0xe0	Down	CCW	Off	Off	Off	Off	0,099960
10,625235	0xe2	Down	CCW	Off	Off	On	Off	0,000020
10,625255	0xe0	Down	CCW	Off	Off	Off	Off	0,099975
10,725230	0xe2	Down	CCW	Off	Off	On	Off	0,000015
10,725245	0xe0	Down	CCW	Off	Off	Off	Off	0,099990
10,825235	0xe2	Down	CCW	Off	Off	On	Off	0,000020
10,825255	0xe0	Down	CCW	Off	Off	Off	Off	0,100070
10,925325	0xe2	Down	CCW	Off	Off	On	Off	0,000020
10,925345	0xe0	Down	CCW	Off	Off	Off	Off	0,099965
11,025310	0xe2	Down	CCW	Off	Off	On	Off	0,000020
11,025330	0xe0	Down	CCW	Off	Off	Off	Off	0,100075
11,125405	0xe2	Down	CCW	Off	Off	On	Off	0,000015
11,125420	0xe0	Down	CCW	Off	Off	Off	Off	0,099965
11,225385	0xe2	Down	CCW	Off	Off	On	Off	0,000015
11,225400	0xe0	Down	CCW	Off	Off	Off	Off	0,099950
11,325350	0xe2	Down	CCW	Off	Off	On	Off	0,000020
11,325370	0xe0	Down	CCW	Off	Off	Off	Off	0,100085
11,425455	0xe2	Down	CCW	Off	Off	On	Off	0,000020
