ABS time (ms)	 value	 Arm On	 Arm Down	 Bowl On	 Bowl CW	 Dosage pump	 Drain pump	 Water valve	 Blow dryer	 duration (ms)
0	0x0-	0	0	0	0	0	0	x	0	2,732605
2,732605	0x2-	0	0	1	0	0	0	x	0	0,031795
2,7644	0x6-	0	1	1	0	0	0	x	0	0,03175
2,79615	0xe-	1	1	1	0	0	0	x	0	13,153185
15,949335	0xa-	1	0	1	0	0	0	x	0	0,031795
15,98113	0x2-	0	0	1	0	0	0	x	0	18,10907
34,0902	0x3-	0	0	1	1	0	0	x	0	6,201485
40,291685	0x2-	0	0	1	0	0	0	x	0	0,063595
40,35528	0x6-	0	1	1	0	0	0	x	0	0,0318
40,38708	0xe-	1	1	1	0	0	0	x	0	5,669575
46,056655	0xa-	1	0	1	0	0	0	x	0	0,53191
46,588565	0x2-	0	0	1	0	0	0	x	0	25,20609
71,794655	0xa-	1	0	1	0	0	0	x	0	10,67087
82,465525	0xe-	1	1	1	0	0	0	x	0	6,601605
89,06713	0xa-	1	0	1	0	0	0	x	0	17,20427
106,2714	0xe-	1	1	1	0	0	0	x	0	12,703075
118,974475	0xa-	1	0	1	0	0	0	x	0	0,031745
119,00622	0x2-	0	0	1	0	0	0	x	0	4,669405
123,675625	0x6-	0	1	1	0	0	0	x	0	0,03175
123,707375	0xe-	1	1	1	0	0	0	x	0	11,17097
134,878345	0xa-	1	0	1	0	0	0	x	0	0,53177
135,410115	0x2-	0	0	1	0	0	0	x	0	25,20616
160,616275	0xa-	1	0	1	0	0	0	x	0	10,67093
171,287205	0xe-	1	1	1	0	0	0	x	0	6,60149
177,888695	0xa-	1	0	1	0	0	0	x	0	20,141325
198,03002	0xb-	1	0	1	1	0	0	x	0	0,063605
198,093625	0xf-	1	1	1	1	0	0	x	0	21,70537
219,798995	0xb-	1	0	1	1	0	0	x	0	0,931915
220,73091	0x3-	0	0	1	1	0	0	x	0	12,107635
232,838545	0x2-	0	0	1	0	0	0	x	0	0,063645
232,90219	0x6-	0	1	1	0	0	0	x	0	0,031755
232,933945	0xe-	1	1	1	0	0	0	x	0	3,16892
236,102865	0xa-	1	0	1	0	0	0	x	0	0,531915
236,63478	0x2-	0	0	1	0	0	0	x	0	24,205875
260,840655	0xa-	1	0	1	0	0	0	x	0	10,57093
271,411585	0xe-	1	1	1	0	0	0	x	0	6,601505
278,01309	0xa-	1	0	1	0	0	0	x	0	17,140595
295,153685	0xb-	1	0	1	1	0	0	x	0	0,09539
295,249075	0x3-	0	0	1	1	0	0	x	0	18,67278
313,921855	0x7-	0	1	1	1	0	0	x	0	0,031795
313,95365	0xf-	1	1	1	1	0	0	x	0	25,174315
339,127965	0xb-	1	0	1	1	0	0	x	0	1,132235
340,2602	0x3-	0	0	1	1	0	0	x	0	75,591145
415,851345	0x3-	0	0	1	1	0	1	x	0	25,20622
441,057565	0x3-	0	0	1	1	0	0	x	0	75,7183
516,775865	0x3-	0	0	1	1	0	1	x	0	25,206185
541,98205	0x3-	0	0	1	1	0	0	x	0	8,20206
550,18411	0x3-	0	0	1	1	0	1	x	0	25,20613
575,39024	0x3-	0	0	1	1	0	0	x	0	8,202165
583,592405	0x3-	0	0	1	1	0	1	x	0	65,616025
649,20843	0x3-	0	0	1	1	0	0	x	0	55,418055
704,626485	0x3-	0	0	1	1	1	0	x	0	0,127185
704,75367	0x2-	0	0	1	0	1	0	x	0	0,01138
704,76505	0x2-	0	0	1	0	1	0	x	1	0,000005
704,765055	0x2-	0	0	1	0	1	0	x	0	0,000055
704,76511	0x2-	0	0	1	0	1	1	x	0	0,000005
704,765115	0x2-	0	0	1	0	1	0	x	0	2,462015
707,22713	0x2-	0	0	1	0	0	0	x	0	0,12718
707,35431	0x3-	0	0	1	1	0	0	x	0	65,584085
772,938395	0x3-	0	0	1	1	0	1	x	0	25,206325
798,14472	0x3-	0	0	1	1	0	0	x	0	75,718275
