Time [s],Event
-0,0000020,Start
0,0000398,Setup write to 0x50. +ACK
0,0001117,Wrote 0x00 to 0x50. +ACK
0,0001838,Wrote 0x00 to 0x50. +ACK
0,0002495,Stop
0,0003020,Start
0,0003438,Setup write to 0x50. +ACK
0,0004158,Wrote 0x00 to 0x50. +ACK
0,0004877,Wrote 0x10 to 0x50. +ACK
0,0005535,Stop
0,0016213,Start
0,0017090,Setup write to 0x50. +ACK
0,0017810,Wrote 0x01 to 0x50. +ACK
0,0018533,Wrote 0x02 to 0x50. +ACK
0,0019253,Wrote 0x06 to 0x50. +ACK
0,0019973,Wrote 0x00 to 0x50. +ACK
0,0020630,Stop
0,0041350,Start
0,0041768,Setup write to 0x50. +ACK
0,0042488,Wrote 0x01 to 0x50. +ACK
0,0043185,Start
0,0043558,Setup read from 0x50. +ACK
0,0044278,Read 0x01 from 0x50. +ACK
0,0045518,Read 0x4D from 0x50. +No ACK
0,0047285,Stop
0,0047860,Start
0,0048278,Setup write to 0x50. +ACK
0,0049000,Wrote 0x00 to 0x50. +ACK
0,0049720,Wrote 0x00 to 0x50. +ACK
0,0050378,Stop
1,0002498,Start
1,0002915,Setup write to 0x50. +ACK
1,0003635,Wrote 0x00 to 0x50. +ACK
1,0004355,Wrote 0x00 to 0x50. +ACK
1,0005015,Stop
1,0005538,Start
1,0005958,Setup write to 0x50. +ACK
1,0006678,Wrote 0x00 to 0x50. +ACK
1,0007398,Wrote 0x10 to 0x50. +ACK
1,0008055,Stop
1,0018733,Start
1,0019610,Setup write to 0x50. +ACK
1,0020330,Wrote 0x01 to 0x50. +ACK
1,0021050,Wrote 0x02 to 0x50. +ACK
1,0021770,Wrote 0x06 to 0x50. +ACK
1,0022490,Wrote 0x00 to 0x50. +ACK
1,0023148,Stop
1,0043858,Start
1,0044275,Setup write to 0x50. +ACK
1,0044995,Wrote 0x01 to 0x50. +ACK
1,0045693,Start
1,0046068,Setup read from 0x50. +ACK
1,0046788,Read 0x01 from 0x50. +ACK
1,0048028,Read 0x45 from 0x50. +No ACK
1,0049785,Stop
1,0050360,Start
1,0050778,Setup write to 0x50. +ACK
1,0051498,Wrote 0x00 to 0x50. +ACK
1,0052218,Wrote 0x00 to 0x50. +ACK
1,0052875,Stop
2,0004748,Start
